artist_name,album_name,track_name,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,album_genres,album_type,album_popularity,release_date,release_date_precision
Dj 113,"Mantra, Pt. 1",El Sol por la Ventana,156023.0,False,51.0,0.6629999999999999,0.7120000000000001,4.0,-3.782,1.0,0.0593,0.383,0.21600000000000005,0.16,0.5660000000000001,79.993,4.0,,44.0,,single,48.0,2020-09-11,day
Djo,Twenty Twenty,Roddy,252987.0,False,60.0,0.5589999999999999,0.521,0.0,-9.161,1.0,0.0279,0.112,0.0243,0.0686,0.677,179.991,4.0,psychedelic pop,58.0,,album,65.0,2019-09-13,day
Dominic Fike,"Don't Forget About Me, Demos",3 Nights,177666.0,False,77.0,0.815,0.518,7.0,-6.5939999999999985,0.0,0.0897,0.223,0.0,0.104,0.877,151.891,4.0,alternative pop rock; alternative r&b; pop,76.0,,single,75.0,2018-10-16,day
Dominic Fike,What Could Possibly Go Wrong,Politics & Violence,197846.0,True,58.0,0.379,0.561,9.0,-6.4510000000000005,1.0,0.0608,0.481,0.0113,0.11,0.14800000000000002,189.542,4.0,alternative pop rock; alternative r&b; pop,76.0,,album,73.0,2020-07-31,day
Dontcry,Jiro Dreams,Ebi Tempura,114134.0,False,41.0,0.831,0.341,6.0,-9.615,0.0,0.12,0.929,0.926,0.337,0.327,78.016,1.0,lo-fi beats,71.0,,single,58.0,2020-02-24,day
Dontcry,Jiro Dreams,Edamame,89423.0,False,40.0,0.6829999999999999,0.464,0.0,-8.517000000000001,0.0,0.0834,0.42,0.925,0.146,0.319,155.966,4.0,lo-fi beats,71.0,,single,58.0,2020-02-24,day
Dontcry,Jiro Dreams,Sashimi,96219.0,False,52.0,0.755,0.221,2.0,-11.008,1.0,0.119,0.608,0.845,0.109,0.209,82.024,4.0,lo-fi beats,71.0,,single,58.0,2020-02-24,day
Dontcry,Odyssey,Decay,145163.0,False,44.0,0.852,0.174,1.0,-11.231,1.0,0.426,0.127,0.905,0.124,0.583,80.046,4.0,lo-fi beats,71.0,,single,56.0,2020-05-10,day
Dontcry,Odyssey,Since,128648.0,False,46.0,0.66,0.128,9.0,-13.253,0.0,0.101,0.851,0.411,0.0912,0.187,140.179,4.0,lo-fi beats,71.0,,single,56.0,2020-05-10,day
Dontcry,Uber Black,Uber Black,145555.0,False,50.0,0.8809999999999999,0.25,7.0,-9.014,0.0,0.069,0.35100000000000003,0.4320000000000001,0.117,0.58,81.064,4.0,lo-fi beats,71.0,,single,48.0,2020-01-20,day
Dontcry,Veggie / Ciruela,Ciruela,108195.0,False,43.0,0.723,0.305,10.0,-13.433,0.0,0.0566,0.833,0.898,0.0746,0.58,142.015,4.0,lo-fi beats,71.0,,single,41.0,2019-01-20,day
Doom Flamingo,Telepathy,Telepathy,264221.0,False,31.0,0.551,0.743,7.0,-8.94,0.0,0.0885,0.11,0.00127,0.0841,0.207,97.021,4.0,jamtronica,25.0,,single,29.0,2018-09-19,day
Doubutsu System,Sunrise,Winter Song,143979.0,False,31.0,0.534,0.945,9.0,-7.403,0.0,0.0535,0.232,0.773,0.112,0.888,159.995,3.0,,31.0,,album,29.0,2019-05-05,day
Dr. Dog,Abandoned Mansion,Abandoned Mansion,322646.0,False,46.0,0.481,0.523,9.0,-7.921,1.0,0.0279,0.456,0.00456,0.0602,0.285,123.676,4.0,alternative rock; indie folk; indie pop; indie rock; modern folk rock; modern rock; philly indie; rock; shimmer pop; stomp and holler,64.0,,album,51.0,2017-01-31,day
Dr. Dog,Fate,The Breeze,239093.0,False,56.0,0.611,0.5379999999999999,9.0,-7.74,1.0,0.0343,0.76,2.68e-05,0.612,0.319,90.124,4.0,alternative rock; indie folk; indie pop; indie rock; modern folk rock; modern rock; philly indie; rock; shimmer pop; stomp and holler,64.0,,album,56.0,2008-07-22,day
Dr. Dog,Heart It Races,Heart It Races - Cover Version,233128.0,False,65.0,0.705,0.474,10.0,-13.081,1.0,0.0391,0.443,0.0553,0.338,0.7559999999999999,98.612,4.0,alternative rock; indie folk; indie pop; indie rock; modern folk rock; modern rock; philly indie; rock; shimmer pop; stomp and holler,64.0,,single,62.0,2007-06-05,day
